,model,comment,sentiment,sex
0,,,,
1,PRO 6,iphone 10 pro 64MP/108MP??,,
2,3 Pro,Poco X3 pro official ki international??,,
3,Redmi 1,"redmi 10 pro max, sathe kono gift ache?",,
4,POCO X3,Poco x3 Indian version ta ki ase... ??,,
5,10 Pro,redmi Note 10 pro 8/128 gb available nai?,,
6,Mi Note,Vai redmi Note 10 lite available...??,,
7,PRO 6,poco m2 pro 6/128 available?,,
8,Mi Note,redmi Note 10 6/128 international hobe ki??,,
9,OnePlus 8,Oneplus 8 dual sim nai?,,
10,10 Pro,redmi Note 10 pro max cn hobe?,,
11,Mi Note,redmi Note 10 4/64,,
12,2 Pro,waiting for iphone 12 pro max,,
13,3 Pro,Poco x3 pro int. Global available? Price?,,
14,iPhone 12,R u bringing 4g or 5g iphone 12?,,
15,Note 9,Redmi note 9 pro max prise koto..,,
16,POCO X3,poco x3 Price??,,
17,Mi 1,When come mi 11 and price,,
18,POCO X3,poco x3 ind (6/128gb) unofficial available??,,
19,Mi Note,redmi Note 10 s কবে আসবে?,,
20,iPhone 11,iphone 11 er price koto,,
21,iPhone 11,Price of iphone 11 pro ?,,
22,Mi 1,Mi 11 pro??,,
23,Note 9,Poco M2 /Redmi Note 9 inter ache?,,
24,Note 9,redmi Note 9 pro max 6/64.,,
25,Mi 1,Mi 11 lite 6/64 price koto,,
26,2 Pro,Apple iphone 12 product price?,,
27,2 Pro,EMI facility for iphone 12 pro max ?,,
28,POCO X3,konta niba? Iphone 12 naki poco x3 ?,,
29,POCO M3,Poco m3 6/128 available achey??,,
30,2 Pro,M2 pro Or Realme 8,,
31,PRO 6,Poco x3 pro 6/128 =24500 ata ki official na ki unofficial,,
32,POCO F3,Poco f3 dam ki 31..32...as ba,,
33,OnePlus 8,oneplus 8t (12/256) Silver colour available ache?,,
34,3 Pro,poco x3 pro (8/128) available ache,,
35,Mi Note,redmi Note 10 ki official-?,,
36,10 Pro,redmi Note 10 pro mex 6/128 gb 108 mp official koto?,,
37,Redmi 9,Redmi 9 power  কত,,
38,Mi Note,redmi Note 10 (4/64) er official price ki?,,
39,Realme C3,Realme c3 4/64 hobe?,,
40,PRO 6,redmi Note 10 pro 6/128gb which country rom?,,
41,POCO X3,poco x3 6/128 unofficial nai,,
42,OnePlus 8,oneplus 8t 8-128 price ?,,
43,10 Pro,Vai redmi Note 10 pro ase???,,
44,10 Pro,redmi Note 10 pro max price,,
45,Mi Note,redmi Note 10 6/128 need.....koto?,,
46,Mi Note,redmi Note 10 s?,,
47,Note 8,Vhaia redmi note 8 koto tk??,,
48,10 Pro,redmi Note 10 pro Indian price koto??,,
49,PRO 6,Poco x3 pro 6/128 price ?,,
50,POCO X3,poco x3 6/128 indian unofficial price ??,,
51,3 Pro,"POCO X3 Pro এর অফার থাকলে বইলেন, এইসব লুতুপুতু খেলা দেখায়েন নাহ।",,
52,2 Pro,Poco f2 pro available?,,
53,POCO F3,poco f3 available and price?,,
54,OnePlus 8,Oneplus 8 ki ki color e ache?,,
55,OnePlus 7,oneplus 7t price?,,
56,3 Pro,"Poco X3 pro international global hobena,,",,
57,Mi Note,redmi Note 10 int global 4/64 available?,,
58,10 Pro,"redmi Note 10 pro max Int. Global official, Price???",,
59,Note 9,Note 9pro 4/64 int global?,,
60,7 Pro,Realme 7 pro unofficial price koto....,,
61,7 Pro,Realme 7 pro available?,,
62,3 Pro,"Poco X3 pro Int. Global official, seriously?",,
63,Mi 1,mi 11 lite blackcolor ase ?,,
64,3 Pro,International global official???x3 pro,,
65,Mi Note,redmi Note 10 white colour ta ache ki,,
66,Redmi 9,Redmi 9 4/64 (Chinese) Full Intact ? নাকি দোকানে রিপলি করা?,,
67,Note 9,redmi note 9 pro ta ki international global?,,
68,Redmi 9,"Redmi 9 Chinese 3/4 পিছ নিলে কত রাখবেন, আর 9A. আছে কিনা?",,
69,Aria,Bhaia OnePlus 8 ki ki color variant ase?,,
70,10 Pro,Sir redmi Note 10 pro max ami nabo,,
71,Redmi 9,Redmi 9 4/64••••••11999/-(Chinese),,
72,PRO 6,ভাই Realme 8 pro 6/128 এইটা কি আপনাদের কাছে আছে এখন। আর থাকলে দাম কতো বলবেন,,
73,2 Pro,Poco M2 Pro,,
74,Note 9,note 9 indian or global,,
75,8 Pro,realme 8 pro 8/128 unoffical price kotho,,
76,9 Pro,Redmi not 9 pro ki available ace,,
77,Mi Note,redmi Note 10 price ke fixed & products ke available?,,
78,Aria,redmi Note 10 4/64 ta ki Global Variant naki Indian Variant??,,
79,3 Pro,Best price of Poco X3 pro,,
80,Mi Note,redmi Note 10 ki global price naki indian price??,,
81,10 Pro,redmi Note 10 pro official kobe ashbe?,,
82,POCO X3,poco x3 6/128 available? Or unofficial?,,
83,10 Pro,redmi Note 10 pro Max.ki International global?,,
84,Mi Note,Vai redmi Note 10 er price ta ektu komaben na?,,
85,Mi 1,Mi 11 lite 5g ashce?,,
86,10 Pro,redmi Note 10 pro এর দাম কি প্রতিদিন ৪০০/৫০০ করে বাড়ে নাকি,,
87,POCO F3,Poco f3 8/256 price?,,
88,3 Pro,x3 pro ki international global??,,
89,Mi Note,redmi Note 10 4/64 international?,,
90,3 Pro,X3 pro ki international?,,
91,10 Pro,redmi Note 10 pro chinese ta ki available?,,
92,Mi Note,redmi Note 10 ki dite parben? 4/64 indian.,,
93,10 Pro,redmi Note 10 pro max official price?,,
94,10 Pro,redmi Note 10 Pro ( International)  global version হবে??,,
95,3 Pro,Poco f3 pro er price?,,
96,2 Pro,Realme x2 pro available?,,
97,3 Pro,poco f3 pro ber houar chances ache?,,
98,Note 9,Redmi Note 9 ta ki available ace ?,,
99,POCO F3,Poco F3 limited bolte koyta stock a ase bujhacchen?,,
100,Aria,Poco F3 er ki 8/128 variant asbe?,,
101,POCO X3,Poco x3,,
102,10 Pro,redmi Note 10 pro international version টা নাই ??,,
103,POCO X3,"Poco x3 nite chai,,,",,
104,Mi Note,redmi Note 10 4/64 ekhono ki ei dame paoya jae,,
105,Mi Note,Vai redmi Note 10 4/64 ভ্যারিয়েন্টে অন্যরা নিচ্ছে ১৫৯৯৯/১৬০০০ আর আপনারা ১৬৬৯০,,
106,Mi 1,আপনারা Mi 11x pro আনবেন বা redmi k40 pro global rom flash করে দিতে পারবেন??,,
107,Mi Note,"redmi Note 10 ,6/128 ,international global থাকলে দেন,মিরপুর থেকে নিয়ে আসবো।",,
108,10 Pro,10 pro ki global naki indian?,,
109,Mi Note,redmi Note 10 international hobe?,,
110,10 Pro,Cash on delivery hobe..? Tahole redmi Note 10 pro max nibo?,,
111,2 Pro,Exchange possible with Poco m2 pro?,,
112,Note 8,Note 8 koto?,,
113,10 Pro,redmi Note 10 pro 8/128 price koto?,,
114,Mi Note,redmi Note 10 er china Ta Ashbe Kobe?,,
115,10 Pro,redmi Note 10 pro ki India or international,,
