,model,comment,sentiment,sex
1,iPhone 10,iphone 10 oppo 64MP/108MP ? ?,1,0
2,POCO X3,poco X3 oppo official ki international ? ?,1,0
3,Redmi 1,"redmi 10 oppo mate , mate honor gift ache ?",1,1
4,POCO X3,poco x3 Indian version ta ki mate ... ? ?,1,0
5,redmi note 10,redmi note 10 oppo 8/128 gb available nai ?,1,1
6,redmi note 10 Lite,Vai redmi note 10 lite available ... ? ?,1,0
7,POCO M2,poco m2 oppo 6/128 available ?,1,0
8,redmi note 10,redmi note 10 6/128 international hobe ki ? ?,1,1
9,OnePlus 8,oneplus 8 dual sim nai ?,1,1
10,Redmi K40,redmi k40 price,1,0
11,Redmi K40,redmi k40 kobe asbe ?,1,1
12,redmi note 10,redmi note 10 oppo mate cn hobe ?,1,1
13,POCO F3,poco f3 ni ?,1,0
14,POCO X3,poco x3 Ata ki mate by India .....,1,0
15,redmi note 10,redmi note 10 4/64,1,1
16,iPhone 12,waiting nord iphone 12 oppo mate,1,1
17,POCO X3,poco x3 oppo find . Global available ? Price ?,1,0
18,iPhone 12,R u bringing 4g nord 5g iphone 12 ?,1,0
19,redmi note,redmi note 9 oppo mate prise moto ..,1,0
20,POCO X3,poco x3 Price ? ?,1,0
21,Score M,When score mi 11 find price,1,0
22,POCO X3,poco x3 find ( 6/128gb ) unofficial available ? ?,1,1
23,Aurora,Uradhura offer chai kichu phab warp aurora,1,1
24,redmi note 10,redmi note 10 s কবে আসবে ?,1,0
25,iPhone 11,iphone 11 er price moto,1,0
26,Nokia 5,4g nokia 5g ?,1,0
27,Redmi K40,redmi k40 vibe asbe ?,1,0
28,iPhone 11,Price of iphone 11 oppo ?,1,1
29,Mi 11 Lite,Mi 11 lite 5g unofficial available ?,1,0
30,POCO M2,poco M2 redmi note 9 inter ache ?,1,1
31,redmi note,redmi note 9 oppo mate 6/64 .,1,0
32,Mi 11 Lite,Mi 11 lite 6/64 price moto,1,0
33,iPhone 12 Pro,Apple iphone 12 product price ?,1,0
34,iPhone 12,EMI facility nord iphone 12 oppo mate ?,1,0
35,iPhone 12,konta nubia ? iphone 12 nokia poco x3 ?,1,0
36,POCO M3,poco m3 6/128 available achey ? ?,1,0
37,Realme 8,M2 oppo Or realme 8,1,1
38,POCO X3,poco x3 oppo 6/128 =24500 mate ki official nova ki unofficial,1,1
39,POCO F3,poco f3 palm ki 31 .. 32 ... as ba,1,0
40,OnePlus 8T,oneplus 8t ( 12/256 ) Silver colour available ache ?,1,0
41,POCO X3,poco x3 oppo ( 8/128 ) available ache,1,1
42,redmi note 10,redmi note 10 ki official- ?,1,0
43,Redmi K40,redmi k40 mate,1,1
44,redmi note 10,redmi note 10 oppo mex 6/128 gb 108 mp official moto ?,1,0
45,Redmi 9 Power,redmi 9 power কত,1,0
46,Redmi K40,redmi k40 available ?,1,1
47,redmi note 10,redmi note 10 ( 4/64 ) er official price ki ?,1,0
48,Redmi K40,redmi k40,1,0
49,Realme C3,realme c3 4/64 hobe ?,1,0
50,redmi note 10,"redmi note 10 oppo offical palm dicout diya 26 k eta un official 24500 chai vai apnera , ki pagol hoiya maven nokia",1,1
51,OnePlus 9,oneplus 9 oppo 12/256 ki global edition ?,1,0
52,redmi note 10,redmi note 10 oppo 6/128gb watch country rom ?,1,0
53,POCO X3,poco x3 6/128 unofficial nai,1,0
54,POCO M3,poco m3 6/128 available ? ?,1,0
55,OnePlus 8T,oneplus 8t 8-128 price ?,1,1
56,redmi note 10,Vai redmi note 10 oppo mate ? ? ?,1,0
57,Palm,Ekhon Available mate palm colour ?,1,1
58,redmi note 10,redmi note 10 oppo mate price,1,0
59,redmi note 10,redmi note 10 6/128 need ..... moto ?,1,0
60,redmi note 10,redmi note 10 s ?,1,1
61,redmi note 8,Vhaia redmi note 8 moto tk ? ?,1,0
62,Mi Note 10,redmi note 10 oppo Indian price moto ? ?,1,1
63,POCO X3,poco x3 oppo 6/128 price ?,1,1
64,POCO X3,poco x3 6/128 indian unofficial price ? ?,1,1
